worthwhile	der Mühe wert
brink	Rand
smack	Geschmack, Klaps geben
overwhelming	überwältigend
accomplish	vollenden
frontier	Grenze
grab	ergreifen
thumb	Daumen
mutual	gegenseitig, gemeinsam
throat	Kehle, Hals
stomach	Magen
sweaty	verschwitzt
nauseous	ekelhaft
distinguish	unterscheiden
convince	überzeugen
propose	vorschlagen
purpose	Zweck
share	Teil
desire	Wunsch, Verlangen
actually	tatsächlich
stare	anstarren
tiptoe	auf Zehenspitzen gehen
reveal	offenbaren
wear	zur Schau tragen
cute	niedlich, süß
swipe	schlagen, klauen
scare	erschrecken
snore	schnarchen
odd	ungerade, einzeln
brother	kümmern
raise	heben, erhöhen
dearly	teuer
chew	kauen, nachsinnen
sip	schlückchenweise trinken
hum	summen
shallow	oberflächlich
cranky	schlechtgelaunt
yell	aufschreien
ability	Fähigkeit
lick	lecken
worse	schlimmer
slap	schlagen
stuck	stecken, kleben
I wonder if	vielleicht
tires	Reifen
particular	besondere, genau
stupid	dumm
stationery	Briefpapier, Schreibwaren
fairly	ziemlich, völlig
obvious	klar, einleuchtend
plenty of	reichlich
slam	zuschlagen, zuknallen
grander	größere
goal	Ziel
jot down	schnell notieren
awake	wach, munter
be awake to	sich bewußt sein
rule	Regel, Vorschrift, Regierung, Lineal
persist	beharren, bestehen, fortdauern
negotiate	verhandeln über
puddle	Pfütze
distracted	beunruhigt, besorgt, außer sich, wahnsinnig
chest	Kasten, Brustkasten
entertain	(unterhalten), bewirten
pasty, sticky	klebrig
dumb	doof, dumm, blöd
fond	zärtlich
unavoidable	unvermeidlich
invariable	unveränderlich
drag	Schleppen, Zerren
squint	schielen, blinzeln
disappointment	Enttäuschung
swear	schwören, fluchen
tuck	stecken
cheek	Wange
fluff up	aufschütteln, aufplustern
dress up	fein machen
nope	ne, nein
feature	Gesichtszug, Merkmal, kennzeichnen
revolve	sich drehen
finite	begrenzt, endlich
humble	demütig, bescheiden
stain	Fleck
be upset	aufgeregt sein
discover	entdecken
scrubbing	schrubben, scheuern
gap	Lücke, Kluft
awful	furchtbar, schrecklich
convenient	bequem, günstig
effort	Anstrengung, Mühe
admit	zulassen, zugeben
drip	tropfen, triefen
frankly	frei, freimütig, offen
pleasurable	vergnüglich
tremendous	schrecklich, ungeheuer, gewaltig
suppose	voraussetzen, vermuten
be supposed	sollen
sensual	sinnlich
crack up	zusammenbrechen
honest	ehrlich, aufrichtig, echt
terrific	toll, phantastisch
hood	Kapuze
ass	Esel
brush	bürsten, fegen
brush teeth	Zähne putzen
razor	Rasierapparat
squeeze	drücken
perception	Wahrnehmung, Erkenntnis
distort	verdrehen, verzerren
hook	Haken
rough	grob, ungefähr, rauh
promise	versprechen
stubble	Stoppeln
smell	riechen
woeful	jammervoll, elend
negligent	nachlässig
awkward	ungeschickt, unbeholfen, linkisch, unangenehm, dumm, ungünstig
tough	zäh, robust, hart, grob, brutal, übel
hurt	verletzen, verwunden, schmerzen, weh tun, schaden
genuine	aufrichtig
intention	Absicht, Vorsatz
exercise	üben, ausüben, bewegen, sich bewegen
dazzle	blenden, betäuben
display	Entfaltung, Zeigen
skip	springen, überspringen
shape	gestalten, formen, bilden, anpassen
sweat	schwitzen
cottage cheese	Hüttenkäse
fine	schön, fein, rein, spitz, dünn, scharf
fine	geziert, vornehm
I'm fine	mir geht es gut
lard	Schweinefett
scoop	schöpfen, schaufeln
enforce	erzwingen, aufzwingen
somehow	irgendwie
pile	Haufen, Stapel, Stoß
for the sake of	um ...  willen
for my sake	meinetwegen
for God's sake	um Gottes willen
disappear	verschwinden
literal	wortwörtlich, buchstäblich, prosaisch
evaporate	verdunsten, verdampfen
nutritious	nahrhaft
gain	gewinnen, erreichen, bekommen, zunehmen an
beg	bitten
drop	tropfen, fallen lassen
guess	glauben, denken, vermuten, raten
launch	Starten
nap	Nickerchen
succession	Folge
sheer	rein, bloß
grocery	Lebensmittelgeschäft
console	trösten, Bedienungspult
warring	bekriegen
cease	aufhören
cease-fire	Waffenstillstand
resume	wiederaufnehmen, fortsetzen
hostility	Feindseligkeit
slaughter	schlachten, niedermetzeln
schedule	Plan, Fahrplan
thumbing	durchblättern
intention	Absicht
estate	Grundstück
oppose	sich widersetzen
weak	schwach
seemingly	scheinbar
quiet	ruhig, still
gender	Geschlecht
bear	Bär, tragen, gebären, {ein Gefühl} hegen
offend	beleidigen, verletzen, kränken
bug	Fehler
bugging	ärgern, wütend machen
lounge	faulenzen, schlendern
dull	dumm, träge, stumpf
once	einmal, jemals, einst
particularly	besonders
though	obwohl
remarkable	außergewöhnlich
refuse	verweigern, abweisen
relegate	verbannen, verweisen
what the hell	was zum Teufel
vanity	Eitelkeit, Toilettentisch
wardrobe	Garderobe, Kleiderschrank
bulky	umfangreich, sperrig
rather	eher, lieber
clash	Zusammenstoß, Konflikt
clash	nicht zusammenpassen, nicht harmonieren
resent	übelnehmen
invade	überfallen
flee	fliehen, meiden
hail	hageln, rufen, grüßen
myriad	Myriade, Unzahl
variance	Widerspruch, Unterschied
huddle	zusammenkauern
certainly	sicher, natürlich
pant	nach Luft schnappen
chuckling	leises Lachen
frighten	erschrecken
possession	Besitz
reminder	Mahnung
remind	erinnern
tie	Band, Krawatte
wig	Perücke
skirt	Rock, Schoß
goose	Gans
crib	Kinderbett, Krippe
fend off	abwehren
presumption	Vermutung, Wahrscheinlichkeit, Anmaßung 
mood	Laune
courageous	mutig
responsibility	Verantwortung
swamp	Sumpf
figure out	rauskriegen
frankly	frei, offen
venture	sich wagen
pound	stoßen, hämmern, schlagen
festering resentment	eiternden Groll (Ärger)
kidding so.	jemandem etwas vormachen
auditioning	anhören
calm	still, ruhig
nutty	nußartig, verrückt
sane	geistig gesund
coherent	zusammenhängend
ultimately	schließlich
for ... sake	um ...  willen
prove	beweisen, prüfen
suspect	vermuten, befürchten, verdächtigen
elaborate	sorgfältig ausgearbeitet, kompliziert
selfish	selbstsüchtig
concerned	besorgt
ugliness	Häßlichkeit, Gemeinheit
lurk	lauern
stick	stecken, steckenbleiben
failure	Versagen, Ausbleiben
raw	roh, wund, rauh {Wetter}, ungeübt
suck	saugen, lutschen
jaw	der Kiefer, Maul
obsess	quälen
at least	wenigstens
than	als
curse	verfluchen, strafen
prevail	herrschen, vorherrschen, die Oberhand haben
mad	toll, verrückt, wütend, wild
rush	Jagen, Eile, Sturm
wake	Kielwasser, im Gefolge, aufwachen
buddy	Kamerad
carnage	Blutbad
reckless	unbekümmert, rücksichtslos, leichtsinnig
annoy	ärgern, belästigen
abandon	aufgeben, verlassen
strain	strapazieren, anstrengen, belasten
charge	laden, beladen, beauftragen, belehren
recognize	anerkennen, zugeben, einsehen
solace	Trost, trösten
complain	sich beklagen, klagen
dismiss	wegschicken, ablehnen
disgust	Ekel, Abscheu
sigh	seufzen, sich sehnen
once in a while	dann und wann
chat	plaudern
stick it out	durchhalten
revenge	Rache
crawl	kriechen, schleichen, kraulen
scorn	Verachtung, Spott
get in line	in eine Warteschlange kommen
bounce	Schwung, springen, aufprallen
rhyme	Reim, Vers
rhyme or reason	Sinn und Verstand
dangle	baumeln
appliance	Gerät, Mittel
shelve	in ein Regal stellen
self-conscious	befangen, gehemmt, unsicher
announce	ankündigen, bekanntgeben
habit	Gewohnheit
amplify	erweitern, <elek.>verstärken
lazy	faul, träge, langsam
face	ansehen, gegenüberstehen, gehen auf
whose	dessen (Gen. von who)
quite	ganz, völlig, ziemlich, sehr, durchaus
adjust	in Ordnung bringen
bother	belästigen, stören, plagen
