abandon, to	aufgeben, verlassen
abdomen the pressure is making my abdomen bulge	Unterleib Der Druck ließ meinen Unterleib anschwellen
abide, to abiding abide by	bleiben, festhalten an, erwarten, aushalten dauernd treu bleiben
ability	Fähigkeit
abuse	Missbrauch
access-restricted	zugangsbeschränkt
accomplish, to	vollbringen, zu Ende führen, zustande bringen
according to	gemäß, nach
accuse, to	beschuldigen, anklagen
acknowledge, to = to approve	anerkennen, bestätigen
acquainted, to become acquainted with	kennenlernen
adamant	unerbittlich
adapt, to	anpassen
addiction	Sucht
adhere, to	kleben, haften, festhalten
adjacent = contiguous	angrenzend, benachbart, anliegend
adjust, to	anpassen, in Ordnung bringen, (Streit) beilegen
admission	Zulassung (zum Studium)
admit, to	zugeben, zulassen, eintreten lassen, einlassen, hereinlassen
admonish, to	ermahnen
affection affectionate	Zuneigung liebevoll, herzlich
affiliation what's his affiliation, what's his name, I asked.	Zugehörigkeit, Angliederung
affirmation oder to agree with=zustimmen	Zustimmung
afresh	von neuem
agitate, to as we retracted the last twenty  miles of our route, he grew increasingly agitated	hin und her bewegen, aufregen, erörtern aufgeregt
agonize, to	quälen, sich quälen
agony	heftiger Schmerz, Qual, Pein
akin with	verwandt mit
alert on the alert = auf der Hut	wachsam, munter in Alarmbereitschaft
alien	fremd
alter, to the producer had edited the sermon from twenty to fifteen minutes, but they had done so without altering the message.	ändern, sich ändern, verändern, abändern, umändern
amaze, to	verblüffen, überreden
amend, to In fact, I amended, it was a good time altogether	verbessern, berichtigen, ergänzen
among	unter
anew his proclamation swirled anew within me 	von neuem
anguish after several years of inner anguish I had made a decision I still felt anguish for those Russian followers of Christ whom I'd been unable to help	Qual, Seelenqual, Schmerz
Animal, Husbandry	Landwirtschaft, Ackerbau
announce, to	ankündigen
anoint, to anointing	salben Salbung
anxious	ängstlich
apologize, to apology	sich entschuldigen  Entschuldigung
appalling	erschreckend, entsetzlich
appeal, to how does this appeal to me 	appellieren wie wirkt sich das auf mich aus sich wenden an, ansprechen,dringend bitten Anziehungskraft, Wirkung, Anklang, Berufung, Appell
appendage	Anhang, Zubehör
apprehension I accepted immediately, but not without a touch of apprehension	Besorgnis
approach, to	sich nähern, hinzutreten
appropriate to appropriate	passend, angemessen sich aneignen
approve, to approved	anerkennen, bestätigen, gutheißen bewährt
approximately	ungefähr
arrow	Pfeil
ascend, to	gen Himmel fahren
assail be assailed with doubts phantom pains assailed her day and night	angreifen von Zweifeln befallen werden
assassinate,to be assassinated	ermorden einem Attentat zum Opfer fallen
assault the political issues would shift, but they would be unrelenting in their assault.	Angriff 
assent	Zustimmung
assess, to I took a moment one day to assess all of the invaluable lessons I had learned at ...	beurteilen, abschätzen
assume, to assumption	annehmen, voraussetzen Annahme, Voraussetzung
astray, to go astray	in die Irre gehen
attached (see attached)	angeheftet, beigefügt
attempt	Versuch
auburn	kastanienbraun
avoid, to	vermeiden
backslide, to	vom Glauben abfallen
bald pate	Platte, Glatze
banish, to	verbannen
baptism in the Spirit, the	Taufe im Hl. Geist
bargain, to	handeln, feilschen
barn	Scheune
barren land	unfruchtbares Land
basin	Waschbecken
batter, to battlefield so I packed up my battered suitcase	heftig schlagen, misshandeln Schlachtfeld verbeult
bawl, to	brüllen, schreien, grölen
beam, to to beam with joy	strahlen
bear witness, to	Zeugnis geben
beckon, to beck	winken, zuwinken der Wink
belly	Bauch
bend, to she bends to hug me	biegen, sich beugen, Biegung, Kurve
beneath	neben, unten, unter
benediction	Segnung
benevolence	Wohlwollen
benign	freundlich, liebevoll, gütig
betray, to our faces betrayed what we were all thinking but no one dared to say	verraten
bide, to so I bided my time	abwarten, erwarten
billion	Milliarde
blame, to he is to blame for it don't lay the blame on me to blame somebody for	beschuldigen er ist daran schuld schieben Sie die Schuld nicht auf mich jmd. die Schuld geben für
blunt I was blunt, I had to be.	stumpf, grob, rau
blurred	verschwommen
blush	Schamröte, Erröten erröten, rot werden
board she couldn't afford the room and board	Verpflegung
boast (of), to 	sich rühmen, prahlen
boldness	Kühnheit
boost to boost	Auftrieb in die Höhe treiben, z.B. Preise
borough	Bezirk, Stadtgemeinde
boughs	Äste, Zweige
bounce 	Aufprall
bountiful bounty	freigiebig, reichlich Mildtätigkeit, Freigebigkeit Spende Prämie
brethren	Brüder
brightness	Helligkeit, Glanz
briskly	lebhaft
brother in law 	Schwager
bruise 	Quetschung, Prellung, Bluterguss
bucket	Eimer
buckle, to	zuschnallen, festschnallen
buck up	Kopf hoch
buddy a best buddy	Kamerad
bulky 	unhandlich, sperrig
bulletin I perused the printed bulletin bulletin board = Schwarzes Brett	Bericht, Tagesbericht, Bekanntmachung
bump to bump	heftiger Schlag, Stoß, Erschütterung, Beule, Bodenwelle stoßen, zusammenstoßen mit, rammen
burgeon, to they had lots of good things to say about our burgeoning ministry	knospen
burial	Begräbnis
bust now it had proved to be a bust	kaputt, Pleite gehen
by request	auf Wunsch, Anfrage
calling	Berufung
calm =quiet	ruhig
Calvary	Golgatha
camouflage	Tarnung
cancel, to	absagen
candle = sweet	süß
cane he can't wipe his face as he leans on his cane	Stock
canopy	Schutzdach
canvass, to canvassing	prüfen Akquisition
