to double-check	gegenprüfen
to pencil in	vorläufig vormerken
terrific	hervorragend
internship	praktikum
talk shop	geschäftliche Inhalte bereden
alert   	aufmerksam
challenging	schwierig, anspruchsvoll
confident	selbstbewusst
face to face	prersönlich (von Angesicht zu Angesicht)
posture 	Körperhaltung
dash, hyphen	minus
dot	Punkt
minutes	Protokoll
agenda  	Tagesordnung
pound key (AE), hash key (BE)	Rautetaste
star key	Sterntaste
to catch (what was said)	etwas akustisch verstehen
to have or to dial the wrong number	sich verwählen
to miss (what was said)	(das Gesagte) nicht mitbekommen
to speak up	lauter sprechen
confident	selbstbewusst
to get sent off	abgeschickt haben
plenty  	reichlich
stock   	Bestand, Lager
fire away	schießen sie los
supervisor	Vorgesetzter
distractions	Ablenkungen
honest   	ehrlich
impression	Eindruck
to interrupt	unterbrechen
to pay attention to	Aufmerksamkeit schenken
to summarize	zusammenfassen
trouble	Schwierigkeiten
prospective	potenziell, voraussichtlich
extension	Durchwahl
availability	Verfügbarkeit
to participate	teilnehmen, mitwirken
to run something by someone	etwas mit jemandem besprechen
to shift	verschieben
acquaintnaces	Bekanntschaften
tone of voice	Tonfall
public limited company	Aktiengesellschaft
Wilderness	Wildnis
amusing	Amüsant
ambiguous	Zweideutig
saddle	Sattel
pear	Birne
backwards	Rückwärts
Soul	Seele
To intimidate	Einschüchtern
To strengthen	Stärken
amid	Inmitten
Inhibited	Gehemmt
Colloquial	Umgangssprache
Cheerful	Glücklich
Retire in the Pension	In den Ruhestand gehen
detector	Detektor
Meadow	Wiese
awesome	genial
Trade journals	Handelszeitung
Phonetics	Lautschrift
Frequency	Häufigkeit
Sometimes	Manchmal
Often	Oft
Suggest	Vorschlagen
Advice	Empfehlung
Insist	Darauf bestehen
Refuse	Ablehnen
Recommendation	Überweisung
Apologise	Entschuldigen
Clues	Hinweis
Recommend	empfehlen
Diary	Tagebuch
Decaf	Koffeinfrei
Steady	Ruhig
Rarely	kaum
Warehouse	Lager
Quite	Ziemlich
Quiet	Still
Rather	Ziemlich/lieber
diary	Kalender
clock off	ausstempeln
Knitting	Stricken
Tidy up	Aufräumen
Vowels	Selbstlaut, Vokale
Merger	Fusion, Zusammenschluss
Reimbursement	Rückerstattung, Vergütung, Entschädigung
Subsidsed	Bezuschussen, unterstützen
Off sick	Zuhause krank
Purchasing	Einkauf
Behaviour	Benehmen
Suitable	Passend/geeignet
Mention	Erwähnen
Afford	leisten
Disturb	Stören
Sieve	Sieb
Interrupt	Unterbrechen
Recently	Neulich
Plaster	Gips, Pflaster
Beard	Bart
Invention	Erfinden
invest	Investieren
Shift	Schicht
Crockery	Geschirr
Cutlery	Besteck
Hut	Hütte
Predict	Vorhersagen
Last	Andauern
accessories	Austattung
